day,open,high,low,close,volume
2024-06-04 11:05:00,11.05,11.05,11.03,11.04,775100
2024-06-04 11:06:00,11.03,11.04,11.02,11.02,387700
2024-06-04 11:07:00,11.03,11.03,11.02,11.02,57500
2024-06-04 11:08:00,11.03,11.03,11.02,11.03,118200
2024-06-04 11:09:00,11.02,11.03,11.02,11.03,76000
2024-06-04 11:10:00,11.03,11.03,11.01,11.02,533800
2024-06-04 11:11:00,11.02,11.02,11.01,11.02,106200
2024-06-04 11:12:00,11.02,11.03,11.01,11.03,396441
2024-06-04 11:13:00,11.03,11.04,11.02,11.03,484200
2024-06-04 11:14:00,11.03,11.03,11.02,11.03,108100
2024-06-04 11:15:00,11.03,11.03,11.02,11.03,87600
2024-06-04 11:16:00,11.03,11.04,11.02,11.03,412200
2024-06-04 11:17:00,11.04,11.04,11.03,11.04,67300
2024-06-04 11:18:00,11.03,11.04,11.03,11.04,169200
2024-06-04 11:19:00,11.03,11.05,11.03,11.05,866800
2024-06-04 11:20:00,11.04,11.05,11.03,11.04,365000
2024-06-04 11:21:00,11.03,11.04,11.03,11.04,44500
2024-06-04 11:22:00,11.04,11.04,11.02,11.03,409800
2024-06-04 11:23:00,11.02,11.03,11.02,11.02,148900
2024-06-04 11:24:00,11.03,11.03,11.02,11.02,70800
2024-06-04 11:25:00,11.02,11.03,11.01,11.01,179959
2024-06-04 11:26:00,11.01,11.02,11.01,11.02,60300
2024-06-04 11:27:00,11.01,11.02,11.01,11.01,66800
2024-06-04 11:28:00,11.02,11.02,11.01,11.02,50400
2024-06-04 11:29:00,11.01,11.02,11.01,11.01,283100
2024-06-04 11:30:00,11.01,11.02,11.01,11.02,48400
2024-06-04 13:01:00,11.01,11.02,11.0,11.0,458500
2024-06-04 13:02:00,11.01,11.01,11.0,11.0,60200
2024-06-04 13:03:00,11.0,11.02,11.0,11.01,187200
2024-06-04 13:04:00,11.01,11.02,11.0,11.01,136400
2024-06-04 13:05:00,11.01,11.01,11.0,11.0,22100
2024-06-04 13:06:00,11.01,11.01,11.0,11.01,105800
2024-06-04 13:07:00,11.0,11.01,10.99,11.0,1368413
2024-06-04 13:08:00,11.0,11.0,10.99,10.99,49600
2024-06-04 13:09:00,11.0,11.0,10.99,10.99,95500
